Sample 1
5/4/2022 1:24 PM
Wavelength (nm)	10mm Absorbance
338.5	0.049
339.0	0.046
339.5	0.047
340.0	0.048
340.5	0.048
341.0	0.051
341.5	0.051
342.0	0.049
342.5	0.046
343.0	0.049
343.5	0.049
344.0	0.045
344.5	0.046
345.0	0.050
345.5	0.053
346.0	0.052
346.5	0.050
347.0	0.049
347.5	0.045
348.0	0.044
348.5	0.042
349.0	0.041
349.5	0.045
350.0	0.044
350.5	0.046
351.0	0.046
351.5	0.046
352.0	0.046
352.5	0.041
353.0	0.040
353.5	0.043
354.0	0.045
354.5	0.047
355.0	0.047
355.5	0.050
356.0	0.050
356.5	0.050
357.0	0.049
357.5	0.046
358.0	0.047
358.5	0.051
359.0	0.052
359.5	0.052
360.0	0.049
360.5	0.051
361.0	0.051
361.5	0.053
362.0	0.053
362.5	0.051
363.0	0.056
363.5	0.054
364.0	0.046
364.5	0.042
365.0	0.038
365.5	0.039
366.0	0.040
366.5	0.043
367.0	0.047
367.5	0.049
368.0	0.052
368.5	0.049
369.0	0.048
369.5	0.048
370.0	0.044
370.5	0.041
371.0	0.045
371.5	0.050
372.0	0.052
372.5	0.053
373.0	0.050
373.5	0.054
374.0	0.055
374.5	0.053
375.0	0.050
375.5	0.048
376.0	0.053
376.5	0.055
377.0	0.050
377.5	0.044
378.0	0.043
378.5	0.044
379.0	0.046
379.5	0.047
380.0	0.047
380.5	0.052
381.0	0.057
381.5	0.057
382.0	0.056
382.5	0.053
383.0	0.051
383.5	0.048
384.0	0.044
384.5	0.039
385.0	0.035
385.5	0.039
386.0	0.042
386.5	0.044
387.0	0.050
387.5	0.049
388.0	0.049
388.5	0.049
389.0	0.046
389.5	0.047
390.0	0.049
390.5	0.053
391.0	0.056
391.5	0.056
392.0	0.051
392.5	0.047
393.0	0.045
393.5	0.043
394.0	0.040
394.5	0.040
395.0	0.044
395.5	0.050
396.0	0.052
396.5	0.049
397.0	0.044
397.5	0.042
398.0	0.041
398.5	0.041
399.0	0.037
399.5	0.034
400.0	0.036
400.5	0.042
401.0	0.041
401.5	0.042
402.0	0.041
402.5	0.040
403.0	0.041
403.5	0.042
404.0	0.040
404.5	0.039
405.0	0.041
405.5	0.043
406.0	0.041
406.5	0.046
407.0	0.046
407.5	0.048
408.0	0.049
408.5	0.051
409.0	0.050
409.5	0.051
410.0	0.051
410.5	0.051
411.0	0.048
411.5	0.049
412.0	0.049
412.5	0.049
413.0	0.047
413.5	0.048
414.0	0.045
414.5	0.047
415.0	0.045
415.5	0.044
416.0	0.040
416.5	0.039
417.0	0.041
417.5	0.041
418.0	0.041
418.5	0.043
419.0	0.044
419.5	0.049
420.0	0.050
420.5	0.051
421.0	0.051
421.5	0.053
422.0	0.055
422.5	0.053
423.0	0.053
423.5	0.053
424.0	0.053
424.5	0.052
425.0	0.051
425.5	0.049
426.0	0.045
426.5	0.043
427.0	0.042
427.5	0.040
428.0	0.041
428.5	0.039
429.0	0.040
429.5	0.041
430.0	0.043
430.5	0.045
431.0	0.039
431.5	0.036
432.0	0.034
432.5	0.032
433.0	0.030
433.5	0.027
434.0	0.031
434.5	0.037
435.0	0.043
435.5	0.048
436.0	0.047
436.5	0.047
437.0	0.047
437.5	0.043
438.0	0.040
438.5	0.036
439.0	0.035
439.5	0.038
440.0	0.039
440.5	0.039
441.0	0.040
441.5	0.041
442.0	0.041
442.5	0.038
443.0	0.040
443.5	0.039
444.0	0.038
444.5	0.040
445.0	0.041
445.5	0.039
446.0	0.039
446.5	0.039
447.0	0.039
447.5	0.038
448.0	0.039
448.5	0.038
449.0	0.040
449.5	0.042
450.0	0.046
450.5	0.046
451.0	0.049
451.5	0.051
452.0	0.051
452.5	0.050
453.0	0.046
453.5	0.044
454.0	0.047
454.5	0.045
455.0	0.042
455.5	0.039
456.0	0.037
456.5	0.037
457.0	0.037
457.5	0.036
458.0	0.036
458.5	0.040
459.0	0.044
459.5	0.044
460.0	0.044
460.5	0.045
461.0	0.044
461.5	0.043
462.0	0.041
462.5	0.039
463.0	0.039
463.5	0.038
464.0	0.038
464.5	0.041
465.0	0.045
465.5	0.046
466.0	0.046
466.5	0.046
467.0	0.047
467.5	0.046
468.0	0.042
468.5	0.037
469.0	0.033
469.5	0.032
470.0	0.033
470.5	0.033
471.0	0.036
471.5	0.039
472.0	0.044
472.5	0.047
473.0	0.049
473.5	0.044
474.0	0.042
474.5	0.043
475.0	0.042
475.5	0.040
476.0	0.037
476.5	0.035
477.0	0.035
477.5	0.036
478.0	0.035
478.5	0.033
479.0	0.035
479.5	0.039
480.0	0.037
480.5	0.037
481.0	0.038
481.5	0.040
482.0	0.041
482.5	0.040
483.0	0.037
483.5	0.036
484.0	0.035
484.5	0.035
485.0	0.032
485.5	0.032
486.0	0.033
486.5	0.037
487.0	0.039
487.5	0.039
488.0	0.040
488.5	0.042
489.0	0.039
489.5	0.038
490.0	0.038
490.5	0.034
491.0	0.034
491.5	0.034
492.0	0.035
492.5	0.036
493.0	0.037
493.5	0.037
494.0	0.038
494.5	0.042
495.0	0.046
495.5	0.044
496.0	0.044
496.5	0.044
497.0	0.044
497.5	0.042
498.0	0.039
498.5	0.036
499.0	0.038
499.5	0.039
500.0	0.041
500.5	0.037
501.0	0.035
501.5	0.037
502.0	0.037
502.5	0.038
503.0	0.040
503.5	0.041
504.0	0.044
504.5	0.046
505.0	0.049
505.5	0.048
506.0	0.047
506.5	0.046
507.0	0.045
507.5	0.045
508.0	0.042
508.5	0.042
509.0	0.043
509.5	0.043
510.0	0.043
510.5	0.045
511.0	0.042
511.5	0.036
512.0	0.033
512.5	0.035
513.0	0.033
513.5	0.033
514.0	0.034
514.5	0.037
515.0	0.034
515.5	0.037
516.0	0.035
516.5	0.032
517.0	0.031
517.5	0.036
518.0	0.037
518.5	0.039
519.0	0.044
519.5	0.050
520.0	0.047
520.5	0.044
521.0	0.044
521.5	0.038
522.0	0.034
522.5	0.033
523.0	0.035
523.5	0.034
524.0	0.039
524.5	0.042
525.0	0.041
525.5	0.039
526.0	0.038
526.5	0.035
527.0	0.036
527.5	0.038
528.0	0.038
528.5	0.036
529.0	0.039
529.5	0.041
530.0	0.042
530.5	0.043
531.0	0.046
531.5	0.047
532.0	0.047
532.5	0.045
533.0	0.040
533.5	0.037
534.0	0.035
534.5	0.033
535.0	0.032
535.5	0.034
536.0	0.036
536.5	0.038
537.0	0.037
537.5	0.034
538.0	0.033
538.5	0.032
539.0	0.031
539.5	0.030
540.0	0.031
540.5	0.036
541.0	0.038
541.5	0.042
542.0	0.044
542.5	0.045
543.0	0.045
543.5	0.045
544.0	0.046
544.5	0.046
545.0	0.047
545.5	0.047
546.0	0.045
546.5	0.045
547.0	0.044
547.5	0.040
548.0	0.042
548.5	0.043
549.0	0.041
549.5	0.040
550.0	0.039
550.5	0.037
551.0	0.031
551.5	0.027
552.0	0.028
552.5	0.025
553.0	0.033
553.5	0.036
554.0	0.041
554.5	0.045
555.0	0.048
555.5	0.051
556.0	0.046
556.5	0.042
557.0	0.039
557.5	0.035
558.0	0.037
558.5	0.037
559.0	0.038
559.5	0.040
560.0	0.043
560.5	0.048
561.0	0.049
561.5	0.051
562.0	0.049
562.5	0.045
563.0	0.041
563.5	0.040
564.0	0.037
564.5	0.034
565.0	0.031
565.5	0.031
566.0	0.030
566.5	0.030
567.0	0.031
567.5	0.030
568.0	0.034
568.5	0.041
569.0	0.043
569.5	0.043
570.0	0.041
570.5	0.040
571.0	0.036
571.5	0.033
572.0	0.032
572.5	0.031
573.0	0.033
573.5	0.035
574.0	0.041
574.5	0.045
575.0	0.046
575.5	0.048
576.0	0.045
576.5	0.041
577.0	0.039
577.5	0.034
578.0	0.028
578.5	0.026
579.0	0.026
579.5	0.026
580.0	0.025
580.5	0.027
581.0	0.026
581.5	0.027
582.0	0.032
582.5	0.037
583.0	0.038
583.5	0.042
584.0	0.045
584.5	0.047
585.0	0.046
585.5	0.043
586.0	0.037
586.5	0.032
587.0	0.030
587.5	0.027
588.0	0.021
588.5	0.018
589.0	0.022
589.5	0.028
590.0	0.032
590.5	0.035
591.0	0.039
591.5	0.044
592.0	0.048
592.5	0.045
593.0	0.037
593.5	0.031
594.0	0.029
594.5	0.027
595.0	0.024
595.5	0.025
596.0	0.024
596.5	0.029
597.0	0.032
597.5	0.035
598.0	0.033
598.5	0.034
599.0	0.037
599.5	0.039
600.0	0.041
600.5	0.043
601.0	0.042
601.5	0.041
602.0	0.036
602.5	0.034
603.0	0.028
603.5	0.027
604.0	0.027
604.5	0.031
605.0	0.032
605.5	0.036
606.0	0.039
606.5	0.039
607.0	0.041
607.5	0.044
608.0	0.044
608.5	0.044
609.0	0.042
609.5	0.041
610.0	0.038
610.5	0.039
611.0	0.037
611.5	0.040
612.0	0.042
612.5	0.043
613.0	0.047
613.5	0.047
614.0	0.045
614.5	0.039
615.0	0.036
615.5	0.034
616.0	0.030
616.5	0.034
617.0	0.040
617.5	0.046
618.0	0.056
618.5	0.057
619.0	0.059
619.5	0.057
620.0	0.053
620.5	0.049
621.0	0.041
621.5	0.038
622.0	0.038
622.5	0.036
623.0	0.037
623.5	0.036
624.0	0.036
624.5	0.033
625.0	0.030
625.5	0.030
626.0	0.030
626.5	0.028
627.0	0.026
627.5	0.029
628.0	0.033
628.5	0.035
629.0	0.038
629.5	0.042
630.0	0.043
630.5	0.047
631.0	0.052
631.5	0.046
632.0	0.039
632.5	0.035
633.0	0.032
633.5	0.027
634.0	0.027
634.5	0.029
635.0	0.029
635.5	0.029
636.0	0.040
636.5	0.038
637.0	0.042
637.5	0.046
638.0	0.047
638.5	0.046
639.0	0.048
639.5	0.045
640.0	0.040
640.5	0.033
641.0	0.033
641.5	0.033
642.0	0.037
642.5	0.038
643.0	0.041
643.5	0.047
644.0	0.053
644.5	0.053
645.0	0.053
645.5	0.054
646.0	0.055
646.5	0.054
647.0	0.050
647.5	0.045
648.0	0.043
648.5	0.037
649.0	0.033
649.5	0.024
650.0	0.022
650.5	0.026
651.0	0.030
651.5	0.029
652.0	0.029
652.5	0.034
653.0	0.036
653.5	0.032
654.0	0.036
654.5	0.038
655.0	0.041
655.5	0.044
656.0	0.043
656.5	0.040
657.0	0.034
657.5	0.034
658.0	0.029
658.5	0.026
659.0	0.028
659.5	0.030
660.0	0.033
660.5	0.032
661.0	0.037
661.5	0.040
662.0	0.037
662.5	0.045
663.0	0.046
663.5	0.040
664.0	0.032
664.5	0.028
665.0	0.023
665.5	0.019
666.0	0.022
666.5	0.020
667.0	0.017
667.5	0.026
668.0	0.029
668.5	0.025
669.0	0.024
669.5	0.028
670.0	0.029
670.5	0.034
671.0	0.042
671.5	0.044
672.0	0.043
672.5	0.047
673.0	0.049
673.5	0.042
674.0	0.038
674.5	0.036
675.0	0.038
675.5	0.036
676.0	0.038
676.5	0.039
677.0	0.043
677.5	0.046
678.0	0.046
678.5	0.041
679.0	0.047
679.5	0.054
680.0	0.059
680.5	0.060
681.0	0.057
681.5	0.051
682.0	0.048
682.5	0.041
683.0	0.033
683.5	0.029
684.0	0.029
684.5	0.022
685.0	0.018
685.5	0.015
686.0	0.013
686.5	0.010
687.0	0.012
687.5	0.019
688.0	0.028
688.5	0.028
689.0	0.030
689.5	0.027
690.0	0.031
690.5	0.037
691.0	0.040
691.5	0.043
692.0	0.042
692.5	0.049
693.0	0.051
693.5	0.046
694.0	0.041
694.5	0.039
695.0	0.041
695.5	0.043
696.0	0.038
696.5	0.041
697.0	0.039
697.5	0.042
698.0	0.048
698.5	0.049
699.0	0.047
699.5	0.041
700.0	0.039
700.5	0.036
701.0	0.031
701.5	0.027
702.0	0.017
702.5	0.013
703.0	0.015
703.5	0.015
704.0	0.013
704.5	0.006
705.0	0.007
705.5	0.012
706.0	0.015
706.5	0.013
707.0	0.010
707.5	0.021
708.0	0.029
708.5	0.035
709.0	0.040
709.5	0.038
710.0	0.042
710.5	0.046
711.0	0.042
711.5	0.037
712.0	0.031
712.5	0.042
713.0	0.041
713.5	0.041
714.0	0.037
714.5	0.029
715.0	0.027
715.5	0.027
716.0	0.028
716.5	0.027
717.0	0.030
717.5	0.037
718.0	0.037
718.5	0.030
719.0	0.030
719.5	0.024
720.0	0.024
720.5	0.022
721.0	0.019
721.5	0.016
722.0	0.014
722.5	0.013
723.0	0.015
723.5	0.019
724.0	0.033
724.5	0.033
725.0	0.041
725.5	0.044
726.0	0.041
726.5	0.040
727.0	0.039
727.5	0.042
728.0	0.043
728.5	0.041
729.0	0.040
729.5	0.036
730.0	0.035
730.5	0.034
731.0	0.028
731.5	0.025
732.0	0.028
732.5	0.033
733.0	0.030
733.5	0.025
734.0	0.023
734.5	0.025
735.0	0.024
735.5	0.023
736.0	0.026
736.5	0.033
737.0	0.038
737.5	0.043
738.0	0.045
738.5	0.042
739.0	0.036
739.5	0.035
740.0	0.032
740.5	0.027
741.0	0.034
741.5	0.039
742.0	0.040
742.5	0.046
743.0	0.050
743.5	0.047
744.0	0.040
744.5	0.031
745.0	0.026
745.5	0.022
746.0	0.030
746.5	0.025
747.0	0.023
747.5	0.028
748.0	0.036
748.5	0.039
749.0	0.042
749.5	0.038
750.0	0.042
750.5	0.046
751.0	0.042
751.5	0.028
752.0	0.017
752.5	0.012
753.0	0.011
753.5	0.011
754.0	0.019
754.5	0.028
755.0	0.038
755.5	0.046
756.0	0.046
756.5	0.043
757.0	0.044
757.5	0.047
758.0	0.046
758.5	0.045
759.0	0.042
759.5	0.038
760.0	0.035
760.5	0.031
761.0	0.035
761.5	0.040
762.0	0.043
762.5	0.051
763.0	0.058
763.5	0.063
764.0	0.056
764.5	0.041
765.0	0.035
765.5	0.031
766.0	0.040
766.5	0.039
767.0	0.036
767.5	0.032
768.0	0.030
768.5	0.030
769.0	0.033
769.5	0.030
770.0	0.034
770.5	0.040
771.0	0.046
771.5	0.045
772.0	0.037
772.5	0.027
773.0	0.022
773.5	0.024
774.0	0.032
774.5	0.030
775.0	0.036
775.5	0.034
776.0	0.023
776.5	0.018
777.0	0.016
777.5	0.019
778.0	0.019
778.5	0.021
779.0	0.031
779.5	0.039
780.0	0.046
780.5	0.041
781.0	0.040
781.5	0.044
782.0	0.040
782.5	0.030
783.0	0.020
783.5	0.014
784.0	0.011
784.5	0.019
785.0	0.023
785.5	0.027
786.0	0.035
786.5	0.044
787.0	0.046
787.5	0.046
788.0	0.043
788.5	0.038
789.0	0.027
789.5	0.031
790.0	0.036
790.5	0.041
791.0	0.039
791.5	0.042
792.0	0.043
792.5	0.039
793.0	0.031
793.5	0.029
794.0	0.023
794.5	0.012
795.0	0.008
795.5	0.006
796.0	0.001
796.5	0.009
797.0	0.022
797.5	0.039
798.0	0.048
798.5	0.058
799.0	0.054
799.5	0.034
800.0	0.029
800.5	0.026
801.0	0.026
801.5	0.040
802.0	0.051
802.5	0.056
803.0	0.054
803.5	0.055
804.0	0.051
804.5	0.048
805.0	0.053
805.5	0.058
806.0	0.060
806.5	0.060
807.0	0.054
807.5	0.050
808.0	0.047
808.5	0.044
809.0	0.040
809.5	0.043
810.0	0.038
810.5	0.040
811.0	0.033
811.5	0.017
812.0	0.015
812.5	0.014
813.0	0.019
813.5	0.028
814.0	0.043
814.5	0.051
815.0	0.049
815.5	0.046
816.0	0.048
816.5	0.045
817.0	0.037
817.5	0.028
818.0	0.035
818.5	0.037
819.0	0.034
819.5	0.026
820.0	0.019
820.5	0.014
821.0	0.022
821.5	0.028
822.0	0.026
822.5	0.032
823.0	0.043
823.5	0.043
824.0	0.042
824.5	0.044
825.0	0.045
825.5	0.043
826.0	0.044
826.5	0.046
827.0	0.047
827.5	0.045
828.0	0.045
828.5	0.041
829.0	0.041
829.5	0.042
830.0	0.049
830.5	0.045
831.0	0.043
831.5	0.044
832.0	0.044
832.5	0.038
833.0	0.026
833.5	0.022
834.0	0.020
834.5	0.021
835.0	0.031
835.5	0.031
836.0	0.039
836.5	0.049
837.0	0.053
837.5	0.048
838.0	0.044
838.5	0.035
839.0	0.024
839.5	0.018
840.0	0.016
840.5	0.012
841.0	0.015
841.5	0.022
842.0	0.032
842.5	0.034
843.0	0.045
843.5	0.044
844.0	0.051
844.5	0.056
845.0	0.053
845.5	0.053
846.0	0.057
846.5	0.058
847.0	0.055
847.5	0.049
848.0	0.050
848.5	0.033
849.0	0.029
849.5	0.015
850.0	0.004


Sample 2
5/4/2022 1:25 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17333	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.30000	
//WLCalib: 484S 	0.09000	
//WLCalib: 529S 	0.09000	
//WLCalib: 823S 	-0.38000	
//QSpecEnd: 
190.0	-0.304
190.5	-0.479
191.0	-0.331
191.5	-0.479
192.0	-0.177
192.5	-0.273
193.0	-0.054
193.5	0.211
194.0	0.380
194.5	0.238
195.0	0.186
195.5	-0.009
196.0	-0.146
196.5	-0.094
197.0	0.000
197.5	-0.033
198.0	-0.032
198.5	-0.009
199.0	-0.045
199.5	-0.089
200.0	-0.093
200.5	-0.084
201.0	-0.084
201.5	-0.076
202.0	-0.061
202.5	-0.049
203.0	-0.035
203.5	-0.025
204.0	-0.030
204.5	-0.032
205.0	-0.041
205.5	-0.045
206.0	-0.041
206.5	-0.036
207.0	-0.029
207.5	-0.024
208.0	-0.013
208.5	-0.004
209.0	-0.001
209.5	0.001
210.0	-0.007
210.5	-0.001
211.0	0.001
211.5	0.002
212.0	0.008
212.5	0.003
213.0	-0.007
213.5	-0.009
214.0	-0.010
214.5	-0.015
215.0	-0.012
215.5	-0.004
216.0	-0.002
216.5	0.002
217.0	0.003
217.5	-0.011
218.0	-0.018
218.5	-0.029
219.0	-0.026
219.5	-0.020
220.0	-0.004
220.5	0.002
221.0	0.006
221.5	0.005
222.0	0.002
222.5	-0.007
223.0	-0.015
223.5	-0.020
224.0	-0.015
224.5	-0.005
225.0	0.001
225.5	0.001
226.0	0.002
226.5	0.000
227.0	-0.001
227.5	-0.004
228.0	-0.006
228.5	-0.011
229.0	-0.006
229.5	-0.003
230.0	-0.001
230.5	0.002
231.0	0.003
231.5	0.004
232.0	0.006
232.5	0.008
233.0	0.010
233.5	0.007
234.0	0.008
234.5	0.008
235.0	0.008
235.5	0.009
236.0	0.007
236.5	0.003
237.0	0.002
237.5	0.007
238.0	0.008
238.5	0.002
239.0	0.006
239.5	0.004
240.0	0.005
240.5	0.004
241.0	0.002
241.5	0.003
242.0	0.006
242.5	0.012
243.0	0.010
243.5	0.010
244.0	0.012
244.5	0.009
245.0	0.008
245.5	0.004
246.0	0.002
246.5	0.002
247.0	0.004
247.5	0.006
248.0	0.004
248.5	0.006
249.0	0.006
249.5	0.011
250.0	0.015
250.5	0.018
251.0	0.017
251.5	0.017
252.0	0.017
252.5	0.012
253.0	0.007
253.5	0.007
254.0	0.007
254.5	0.008
255.0	0.009
255.5	0.012
256.0	0.019
256.5	0.023
257.0	0.021
257.5	0.017
258.0	0.017
258.5	0.013
259.0	0.010
259.5	0.003
260.0	0.006
260.5	0.009
261.0	0.016
261.5	0.019
262.0	0.016
262.5	0.007
263.0	0.000
263.5	-0.006
264.0	-0.011
264.5	-0.009
265.0	-0.006
265.5	-0.003
266.0	0.006
266.5	0.012
267.0	0.012
267.5	0.013
268.0	0.015
268.5	0.018
269.0	0.016
269.5	0.015
270.0	0.010
270.5	0.010
271.0	0.003
271.5	-0.003
272.0	-0.005
272.5	-0.002
273.0	0.003
273.5	0.005
274.0	0.009
274.5	0.010
275.0	0.010
275.5	0.008
276.0	0.004
276.5	0.000
277.0	-0.003
277.5	-0.004
278.0	-0.005
278.5	-0.009
279.0	-0.004
279.5	-0.002
280.0	0.000
280.5	0.002
281.0	-0.001
281.5	0.000
282.0	0.001
282.5	0.002
283.0	0.001
283.5	0.001
284.0	0.004
284.5	0.003
285.0	0.005
285.5	0.005
286.0	0.003
286.5	0.004
287.0	0.004
287.5	0.009
288.0	0.015
288.5	0.016
289.0	0.017
289.5	0.017
290.0	0.021
290.5	0.020
291.0	0.014
291.5	0.012
292.0	0.012
292.5	0.015
293.0	0.018
293.5	0.019
294.0	0.025
294.5	0.023
295.0	0.022
295.5	0.015
296.0	0.007
296.5	0.004
297.0	0.003
297.5	0.005
298.0	0.010
298.5	0.011
299.0	0.014
299.5	0.011
300.0	0.009
300.5	0.009
301.0	0.010
301.5	0.009
302.0	0.013
302.5	0.015
303.0	0.016
303.5	0.014
304.0	0.013
304.5	0.008
305.0	0.004
305.5	0.005
306.0	0.006
306.5	0.002
307.0	0.006
307.5	0.006
308.0	0.008
308.5	0.013
309.0	0.010
309.5	0.008
310.0	0.010
310.5	0.010
311.0	0.010
311.5	0.008
312.0	0.011
312.5	0.011
313.0	0.012
313.5	0.012
314.0	0.007
314.5	0.004
315.0	0.007
315.5	0.007
316.0	0.005
316.5	0.010
317.0	0.010
317.5	0.013
318.0	0.014
318.5	0.011
319.0	0.010
319.5	0.007
320.0	0.009
320.5	0.001
321.0	0.001
321.5	0.007
322.0	0.005
322.5	0.006
323.0	0.011
323.5	0.013
324.0	0.017
324.5	0.016
325.0	0.014
325.5	0.014
326.0	0.019
326.5	0.021
327.0	0.021
327.5	0.021
328.0	0.019
328.5	0.013
329.0	0.014
329.5	0.009
330.0	0.005
330.5	0.012
331.0	0.014
331.5	0.016
332.0	0.019
332.5	0.018
333.0	0.014
333.5	0.012
334.0	0.013
334.5	0.002
335.0	0.003
335.5	0.005
336.0	0.003
336.5	0.003
337.0	0.008
337.5	0.012
338.0	0.016
338.5	0.019
339.0	0.023
339.5	0.023
340.0	0.030
340.5	0.031
341.0	0.028
341.5	0.027
342.0	0.027
342.5	0.025
343.0	0.017
343.5	0.016
344.0	0.016
344.5	0.016
345.0	0.017
345.5	0.020
346.0	0.020
346.5	0.019
347.0	0.019
347.5	0.017
348.0	0.013
348.5	0.017
349.0	0.018
349.5	0.019
350.0	0.017
350.5	0.022
351.0	0.020
351.5	0.020
352.0	0.019
352.5	0.019
353.0	0.015
353.5	0.015
354.0	0.011
354.5	0.010
355.0	0.007
355.5	0.009
356.0	0.010
356.5	0.012
357.0	0.012
357.5	0.009
358.0	0.006
358.5	0.004
359.0	0.000
359.5	-0.004
360.0	-0.001
360.5	0.003
361.0	0.007
361.5	0.012
362.0	0.013
362.5	0.016
363.0	0.019
363.5	0.020
364.0	0.017
364.5	0.014
365.0	0.012
365.5	0.008
366.0	0.009
366.5	0.009
367.0	0.010
367.5	0.019
368.0	0.025
368.5	0.027
369.0	0.028
369.5	0.025
370.0	0.024
370.5	0.022
371.0	0.021
371.5	0.020
372.0	0.018
372.5	0.019
373.0	0.017
373.5	0.013
374.0	0.012
374.5	0.012
375.0	0.018
375.5	0.021
376.0	0.021
