Sample 1
5/6/2022 12:26 PM
Wavelength (nm)	10mm Absorbance
331.0	-0.046
331.5	-0.045
332.0	-0.041
332.5	-0.038
333.0	-0.044
333.5	-0.051
334.0	-0.054
334.5	-0.054
335.0	-0.055
335.5	-0.055
336.0	-0.053
336.5	-0.045
337.0	-0.037
337.5	-0.034
338.0	-0.037
338.5	-0.042
339.0	-0.043
339.5	-0.051
340.0	-0.058
340.5	-0.061
341.0	-0.063
341.5	-0.058
342.0	-0.056
342.5	-0.054
343.0	-0.050
343.5	-0.046
344.0	-0.042
344.5	-0.040
345.0	-0.037
345.5	-0.033
346.0	-0.035
346.5	-0.035
347.0	-0.041
347.5	-0.045
348.0	-0.047
348.5	-0.048
349.0	-0.052
349.5	-0.052
350.0	-0.050
350.5	-0.049
351.0	-0.047
351.5	-0.043
352.0	-0.042
352.5	-0.039
353.0	-0.039
353.5	-0.040
354.0	-0.042
354.5	-0.038
355.0	-0.036
355.5	-0.036
356.0	-0.033
356.5	-0.032
357.0	-0.031
357.5	-0.029
358.0	-0.030
358.5	-0.031
359.0	-0.027
359.5	-0.028
360.0	-0.029
360.5	-0.025
361.0	-0.024
361.5	-0.025
362.0	-0.022
362.5	-0.015
363.0	-0.015
363.5	-0.019
364.0	-0.025
364.5	-0.036
365.0	-0.042
365.5	-0.046
366.0	-0.051
366.5	-0.049
367.0	-0.045
367.5	-0.038
368.0	-0.041
368.5	-0.042
369.0	-0.043
369.5	-0.046
370.0	-0.047
370.5	-0.051
371.0	-0.050
371.5	-0.049
372.0	-0.051
372.5	-0.054
373.0	-0.055
373.5	-0.053
374.0	-0.051
374.5	-0.053
375.0	-0.048
375.5	-0.046
376.0	-0.041
376.5	-0.040
377.0	-0.039
377.5	-0.039
378.0	-0.035
378.5	-0.037
379.0	-0.039
379.5	-0.041
380.0	-0.042
380.5	-0.043
381.0	-0.049
381.5	-0.053
382.0	-0.050
382.5	-0.053
383.0	-0.053
383.5	-0.055
384.0	-0.055
384.5	-0.054
385.0	-0.054
385.5	-0.052
386.0	-0.051
386.5	-0.048
387.0	-0.042
387.5	-0.041
388.0	-0.041
388.5	-0.042
389.0	-0.046
389.5	-0.047
390.0	-0.050
390.5	-0.048
391.0	-0.044
391.5	-0.042
392.0	-0.039
392.5	-0.038
393.0	-0.036
393.5	-0.034
394.0	-0.034
394.5	-0.031
395.0	-0.034
395.5	-0.037
396.0	-0.036
396.5	-0.036
397.0	-0.041
397.5	-0.044
398.0	-0.044
398.5	-0.045
399.0	-0.045
399.5	-0.044
400.0	-0.047
400.5	-0.050
401.0	-0.048
401.5	-0.048
402.0	-0.051
402.5	-0.052
403.0	-0.051
403.5	-0.050
404.0	-0.046
404.5	-0.042
405.0	-0.041
405.5	-0.042
406.0	-0.040
406.5	-0.039
407.0	-0.044
407.5	-0.048
408.0	-0.050
408.5	-0.051
409.0	-0.052
409.5	-0.054
410.0	-0.054
410.5	-0.054
411.0	-0.052
411.5	-0.053
412.0	-0.052
412.5	-0.049
413.0	-0.048
413.5	-0.048
414.0	-0.052
414.5	-0.053
415.0	-0.052
415.5	-0.053
416.0	-0.053
416.5	-0.051
417.0	-0.045
417.5	-0.038
418.0	-0.033
418.5	-0.032
419.0	-0.031
419.5	-0.027
420.0	-0.024
420.5	-0.021
421.0	-0.020
421.5	-0.020
422.0	-0.021
422.5	-0.022
423.0	-0.025
423.5	-0.028
424.0	-0.028
424.5	-0.028
425.0	-0.028
425.5	-0.028
426.0	-0.031
426.5	-0.032
427.0	-0.033
427.5	-0.038
428.0	-0.045
428.5	-0.050
429.0	-0.054
429.5	-0.056
430.0	-0.056
430.5	-0.056
431.0	-0.056
431.5	-0.052
432.0	-0.046
432.5	-0.047
433.0	-0.049
433.5	-0.047
434.0	-0.044
434.5	-0.040
435.0	-0.041
435.5	-0.045
436.0	-0.044
436.5	-0.043
437.0	-0.044
437.5	-0.047
438.0	-0.048
438.5	-0.046
439.0	-0.042
439.5	-0.039
440.0	-0.036
440.5	-0.037
441.0	-0.034
441.5	-0.034
442.0	-0.034
442.5	-0.035
443.0	-0.040
443.5	-0.041
444.0	-0.040
444.5	-0.040
445.0	-0.038
445.5	-0.041
446.0	-0.037
446.5	-0.033
447.0	-0.028
447.5	-0.022
448.0	-0.021
448.5	-0.022
449.0	-0.024
449.5	-0.026
450.0	-0.032
450.5	-0.039
451.0	-0.041
451.5	-0.042
452.0	-0.045
452.5	-0.045
453.0	-0.044
453.5	-0.046
454.0	-0.046
454.5	-0.045
455.0	-0.046
455.5	-0.048
456.0	-0.050
456.5	-0.051
457.0	-0.052
457.5	-0.050
458.0	-0.049
458.5	-0.046
459.0	-0.044
459.5	-0.041
460.0	-0.039
460.5	-0.039
461.0	-0.036
461.5	-0.035
462.0	-0.034
462.5	-0.034
463.0	-0.035
463.5	-0.035
464.0	-0.042
464.5	-0.046
465.0	-0.048
465.5	-0.048
466.0	-0.046
466.5	-0.046
467.0	-0.043
467.5	-0.039
468.0	-0.038
468.5	-0.041
469.0	-0.046
469.5	-0.049
470.0	-0.052
470.5	-0.053
471.0	-0.055
471.5	-0.056
472.0	-0.053
472.5	-0.052
473.0	-0.053
473.5	-0.056
474.0	-0.055
474.5	-0.055
475.0	-0.056
475.5	-0.058
476.0	-0.062
476.5	-0.068
477.0	-0.069
477.5	-0.069
478.0	-0.068
478.5	-0.066
479.0	-0.063
479.5	-0.061
480.0	-0.059
480.5	-0.056
481.0	-0.054
481.5	-0.055
482.0	-0.050
482.5	-0.043
483.0	-0.038
483.5	-0.034
484.0	-0.035
484.5	-0.034
485.0	-0.033
485.5	-0.031
486.0	-0.028
486.5	-0.027
487.0	-0.027
487.5	-0.027
488.0	-0.031
488.5	-0.036
489.0	-0.041
489.5	-0.041
490.0	-0.041
490.5	-0.041
491.0	-0.038
491.5	-0.036
492.0	-0.037
492.5	-0.040
493.0	-0.044
493.5	-0.048
494.0	-0.048
494.5	-0.047
495.0	-0.046
495.5	-0.047
496.0	-0.046
496.5	-0.045
497.0	-0.048
497.5	-0.047
498.0	-0.046
498.5	-0.048
499.0	-0.048
499.5	-0.049
500.0	-0.049
500.5	-0.053
501.0	-0.057
501.5	-0.059
502.0	-0.061
502.5	-0.061
503.0	-0.060
503.5	-0.061
504.0	-0.059
504.5	-0.055
505.0	-0.054
505.5	-0.056
506.0	-0.056
506.5	-0.056
507.0	-0.057
507.5	-0.056
508.0	-0.056
508.5	-0.053
509.0	-0.047
509.5	-0.042
510.0	-0.041
510.5	-0.044
511.0	-0.044
511.5	-0.046
512.0	-0.051
512.5	-0.056
513.0	-0.059
513.5	-0.058
514.0	-0.057
514.5	-0.055
515.0	-0.055
515.5	-0.058
516.0	-0.057
516.5	-0.056
517.0	-0.061
517.5	-0.061
518.0	-0.059
518.5	-0.058
519.0	-0.057
519.5	-0.054
520.0	-0.053
520.5	-0.054
521.0	-0.052
521.5	-0.051
522.0	-0.052
522.5	-0.050
523.0	-0.050
523.5	-0.050
524.0	-0.051
524.5	-0.053
525.0	-0.056
525.5	-0.058
526.0	-0.062
526.5	-0.059
527.0	-0.052
527.5	-0.046
528.0	-0.038
528.5	-0.031
529.0	-0.023
529.5	-0.021
530.0	-0.024
530.5	-0.029
531.0	-0.034
531.5	-0.035
532.0	-0.038
532.5	-0.039
533.0	-0.044
533.5	-0.048
534.0	-0.046
534.5	-0.047
535.0	-0.049
535.5	-0.048
536.0	-0.045
536.5	-0.041
537.0	-0.043
537.5	-0.045
538.0	-0.052
538.5	-0.056
539.0	-0.057
539.5	-0.057
540.0	-0.053
540.5	-0.046
541.0	-0.040
541.5	-0.035
542.0	-0.035
542.5	-0.036
543.0	-0.039
543.5	-0.042
544.0	-0.044
544.5	-0.045
545.0	-0.043
545.5	-0.041
546.0	-0.039
546.5	-0.038
547.0	-0.036
547.5	-0.036
548.0	-0.037
548.5	-0.039
549.0	-0.042
549.5	-0.043
550.0	-0.044
550.5	-0.045
551.0	-0.044
551.5	-0.043
552.0	-0.046
552.5	-0.049
553.0	-0.053
553.5	-0.054
554.0	-0.053
554.5	-0.052
555.0	-0.049
555.5	-0.048
556.0	-0.046
556.5	-0.049
557.0	-0.055
557.5	-0.062
558.0	-0.066
558.5	-0.068
559.0	-0.069
559.5	-0.068
560.0	-0.066
560.5	-0.065
561.0	-0.062
561.5	-0.061
562.0	-0.060
562.5	-0.061
563.0	-0.061
563.5	-0.061
564.0	-0.058
564.5	-0.057
565.0	-0.057
565.5	-0.059
566.0	-0.061
566.5	-0.063
567.0	-0.060
567.5	-0.056
568.0	-0.052
568.5	-0.049
569.0	-0.047
569.5	-0.047
570.0	-0.050
570.5	-0.053
571.0	-0.057
571.5	-0.061
572.0	-0.055
572.5	-0.049
573.0	-0.047
573.5	-0.051
574.0	-0.051
574.5	-0.054
575.0	-0.058
575.5	-0.057
576.0	-0.058
576.5	-0.060
577.0	-0.057
577.5	-0.057
578.0	-0.061
578.5	-0.067
579.0	-0.068
579.5	-0.070
580.0	-0.071
580.5	-0.069
581.0	-0.064
581.5	-0.060
582.0	-0.056
582.5	-0.052
583.0	-0.054
583.5	-0.055
584.0	-0.050
584.5	-0.048
585.0	-0.053
585.5	-0.060
586.0	-0.064
586.5	-0.066
587.0	-0.067
587.5	-0.070
588.0	-0.071
588.5	-0.070
589.0	-0.062
589.5	-0.055
590.0	-0.054
590.5	-0.052
591.0	-0.051
591.5	-0.049
592.0	-0.045
592.5	-0.048
593.0	-0.050
593.5	-0.054
594.0	-0.054
594.5	-0.055
595.0	-0.051
595.5	-0.045
596.0	-0.042
596.5	-0.038
597.0	-0.035
597.5	-0.039
598.0	-0.044
598.5	-0.050
599.0	-0.054
599.5	-0.058
600.0	-0.061
600.5	-0.060
601.0	-0.058
601.5	-0.054
602.0	-0.055
602.5	-0.059
603.0	-0.056
603.5	-0.050
604.0	-0.044
604.5	-0.042
605.0	-0.041
605.5	-0.041
606.0	-0.043
606.5	-0.042
607.0	-0.047
607.5	-0.048
608.0	-0.048
608.5	-0.047
609.0	-0.046
609.5	-0.044
610.0	-0.044
610.5	-0.047
611.0	-0.047
611.5	-0.042
612.0	-0.039
612.5	-0.034
613.0	-0.037
613.5	-0.038
614.0	-0.041
614.5	-0.046
615.0	-0.053
615.5	-0.058
616.0	-0.060
616.5	-0.057
617.0	-0.057
617.5	-0.055
618.0	-0.055
618.5	-0.059
619.0	-0.062
619.5	-0.064
620.0	-0.062
620.5	-0.065
621.0	-0.066
621.5	-0.067
622.0	-0.067
622.5	-0.064
623.0	-0.059
623.5	-0.064
624.0	-0.060
624.5	-0.055
625.0	-0.049
625.5	-0.046
626.0	-0.043
626.5	-0.041
627.0	-0.037
627.5	-0.036
628.0	-0.033
628.5	-0.039
629.0	-0.041
629.5	-0.041
630.0	-0.047
630.5	-0.048
631.0	-0.051
631.5	-0.053
632.0	-0.057
632.5	-0.062
633.0	-0.066
633.5	-0.072
634.0	-0.073
634.5	-0.073
635.0	-0.073
635.5	-0.067
636.0	-0.062
636.5	-0.056
637.0	-0.053
637.5	-0.052
638.0	-0.061
638.5	-0.065
639.0	-0.066
639.5	-0.064
640.0	-0.064
640.5	-0.060
641.0	-0.051
641.5	-0.044
642.0	-0.042
642.5	-0.044
643.0	-0.052
643.5	-0.054
644.0	-0.055
644.5	-0.053
645.0	-0.056
645.5	-0.055
646.0	-0.050
646.5	-0.053
647.0	-0.057
647.5	-0.061
648.0	-0.056
648.5	-0.049
649.0	-0.047
649.5	-0.045
650.0	-0.046
650.5	-0.050
651.0	-0.055
651.5	-0.067
652.0	-0.073
652.5	-0.075
653.0	-0.066
653.5	-0.063
654.0	-0.067
654.5	-0.068
655.0	-0.077
655.5	-0.079
656.0	-0.078
656.5	-0.077
657.0	-0.068
657.5	-0.051
658.0	-0.033
658.5	-0.026
659.0	-0.030
659.5	-0.038
660.0	-0.051
660.5	-0.057
661.0	-0.063
661.5	-0.064
662.0	-0.056
662.5	-0.050
663.0	-0.048
663.5	-0.048
664.0	-0.056
664.5	-0.063
665.0	-0.073
665.5	-0.084
666.0	-0.086
666.5	-0.086
667.0	-0.085
667.5	-0.083
668.0	-0.079
668.5	-0.074
669.0	-0.069
669.5	-0.058
670.0	-0.058
670.5	-0.055
671.0	-0.049
671.5	-0.048
672.0	-0.052
672.5	-0.057
673.0	-0.061
673.5	-0.068
674.0	-0.075
674.5	-0.072
675.0	-0.074
675.5	-0.075
676.0	-0.075
676.5	-0.074
677.0	-0.074
677.5	-0.068
678.0	-0.057
678.5	-0.048
679.0	-0.036
679.5	-0.020
680.0	-0.013
680.5	-0.009
681.0	-0.010
681.5	-0.017
682.0	-0.025
682.5	-0.036
683.0	-0.051
683.5	-0.065
684.0	-0.071
684.5	-0.071
685.0	-0.074
685.5	-0.069
686.0	-0.063
686.5	-0.052
687.0	-0.036
687.5	-0.032
688.0	-0.029
688.5	-0.031
689.0	-0.033
689.5	-0.040
690.0	-0.051
690.5	-0.049
691.0	-0.052
691.5	-0.047
692.0	-0.043
692.5	-0.049
693.0	-0.047
693.5	-0.050
694.0	-0.054
694.5	-0.057
695.0	-0.058
695.5	-0.055
696.0	-0.055
696.5	-0.055
697.0	-0.061
697.5	-0.065
698.0	-0.064
698.5	-0.055
699.0	-0.049
699.5	-0.049
700.0	-0.052
700.5	-0.059
701.0	-0.064
701.5	-0.070
702.0	-0.074
702.5	-0.078
703.0	-0.082
703.5	-0.077
704.0	-0.080
704.5	-0.082
705.0	-0.081
705.5	-0.089
706.0	-0.090
706.5	-0.093
707.0	-0.087
707.5	-0.087
708.0	-0.083
708.5	-0.077
709.0	-0.074
709.5	-0.069
710.0	-0.066
710.5	-0.071
711.0	-0.067
711.5	-0.066
712.0	-0.063
712.5	-0.060
713.0	-0.056
713.5	-0.055
714.0	-0.062
714.5	-0.066
715.0	-0.066
715.5	-0.065
716.0	-0.058
716.5	-0.058
717.0	-0.059
717.5	-0.054
718.0	-0.049
718.5	-0.047
719.0	-0.048
719.5	-0.046
720.0	-0.047
720.5	-0.049
721.0	-0.051
721.5	-0.067
722.0	-0.078
722.5	-0.083
723.0	-0.081
723.5	-0.076
724.0	-0.069
724.5	-0.059
725.0	-0.058
725.5	-0.055
726.0	-0.055
726.5	-0.061
727.0	-0.062
727.5	-0.059
728.0	-0.051
728.5	-0.042
729.0	-0.039
729.5	-0.034
730.0	-0.041
730.5	-0.045
731.0	-0.042
731.5	-0.040
732.0	-0.041
732.5	-0.041
733.0	-0.044
733.5	-0.047
734.0	-0.058
734.5	-0.065
735.0	-0.073
735.5	-0.073
736.0	-0.068
736.5	-0.068
737.0	-0.069
737.5	-0.070
738.0	-0.068
738.5	-0.068
739.0	-0.066
739.5	-0.066
740.0	-0.058
740.5	-0.062
741.0	-0.062
741.5	-0.063
742.0	-0.070
742.5	-0.073
743.0	-0.068
743.5	-0.068
744.0	-0.064
744.5	-0.071
745.0	-0.071
745.5	-0.079
746.0	-0.078
746.5	-0.081
747.0	-0.088
747.5	-0.085
748.0	-0.077
748.5	-0.068
749.0	-0.058
749.5	-0.064
750.0	-0.064
750.5	-0.064
751.0	-0.070
751.5	-0.088
752.0	-0.104
752.5	-0.108
753.0	-0.102
753.5	-0.089
754.0	-0.076
754.5	-0.074
755.0	-0.070
755.5	-0.063
756.0	-0.060
756.5	-0.056
757.0	-0.050
757.5	-0.037
758.0	-0.026
758.5	-0.024
759.0	-0.031
759.5	-0.048
760.0	-0.067
760.5	-0.086
761.0	-0.090
761.5	-0.084
762.0	-0.073
762.5	-0.053
763.0	-0.036
763.5	-0.025
764.0	-0.019
764.5	-0.021
765.0	-0.024
765.5	-0.039
766.0	-0.045
766.5	-0.052
767.0	-0.061
767.5	-0.061
768.0	-0.069
768.5	-0.087
769.0	-0.097
769.5	-0.101
770.0	-0.094
770.5	-0.089
771.0	-0.081
771.5	-0.076
772.0	-0.069
772.5	-0.067
773.0	-0.080
773.5	-0.097
774.0	-0.101
774.5	-0.103
775.0	-0.095
775.5	-0.086
776.0	-0.083
776.5	-0.076
777.0	-0.078
777.5	-0.088
778.0	-0.101
778.5	-0.100
779.0	-0.095
779.5	-0.096
780.0	-0.090
780.5	-0.075
781.0	-0.058
781.5	-0.040
782.0	-0.037
782.5	-0.040
783.0	-0.042
783.5	-0.045
784.0	-0.055
784.5	-0.068
785.0	-0.069
785.5	-0.067
786.0	-0.060
786.5	-0.054
787.0	-0.050
787.5	-0.053
788.0	-0.050
788.5	-0.045
789.0	-0.046
789.5	-0.051
790.0	-0.047
790.5	-0.056
791.0	-0.066
791.5	-0.072
792.0	-0.081
792.5	-0.090
793.0	-0.088
793.5	-0.079
794.0	-0.085
794.5	-0.091
795.0	-0.094
795.5	-0.100
796.0	-0.096
796.5	-0.089
797.0	-0.080
797.5	-0.073
798.0	-0.059
798.5	-0.054
799.0	-0.064
799.5	-0.080
800.0	-0.095
800.5	-0.094
801.0	-0.089
801.5	-0.073
802.0	-0.063
802.5	-0.050
803.0	-0.038
803.5	-0.034
804.0	-0.043
804.5	-0.055
805.0	-0.057
805.5	-0.060
806.0	-0.068
806.5	-0.068
807.0	-0.080
807.5	-0.073
808.0	-0.074
808.5	-0.090
809.0	-0.094
809.5	-0.093
810.0	-0.088
810.5	-0.098
811.0	-0.101
811.5	-0.102
812.0	-0.103
812.5	-0.102
813.0	-0.103
813.5	-0.107
814.0	-0.110
814.5	-0.102
815.0	-0.100
815.5	-0.102
816.0	-0.102
816.5	-0.099
817.0	-0.095
817.5	-0.102
818.0	-0.099
818.5	-0.098
819.0	-0.103
819.5	-0.096
820.0	-0.087
820.5	-0.073
821.0	-0.058
821.5	-0.027
822.0	-0.004
822.5	0.005
823.0	0.011
823.5	0.015
824.0	0.013
824.5	0.002
825.0	-0.005
825.5	-0.016
826.0	-0.018
826.5	-0.013
827.0	-0.012
827.5	-0.014
828.0	-0.008
828.5	-0.005
829.0	-0.016
829.5	-0.036
830.0	-0.057
830.5	-0.071
831.0	-0.090
831.5	-0.096
832.0	-0.099
832.5	-0.096
833.0	-0.083
833.5	-0.076
834.0	-0.073
834.5	-0.072
835.0	-0.065
835.5	-0.061
836.0	-0.065
836.5	-0.069
837.0	-0.081
837.5	-0.088
838.0	-0.093
838.5	-0.091
839.0	-0.090
839.5	-0.084
840.0	-0.075
840.5	-0.066
841.0	-0.052
841.5	-0.047
842.0	-0.052
842.5	-0.050
843.0	-0.047
843.5	-0.037
844.0	-0.037
844.5	-0.036
845.0	-0.038
845.5	-0.045
846.0	-0.058
846.5	-0.081
847.0	-0.100
847.5	-0.107
848.0	-0.112
848.5	-0.097
849.0	-0.080
849.5	-0.066
850.0	-0.060


Sample 2
5/6/2022 12:27 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17333	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.30000	
//WLCalib: 484S 	0.09000	
//WLCalib: 529S 	0.09000	
//WLCalib: 823S 	-0.38000	
//QSpecEnd: 
190.0	2.256
190.5	3.016
191.0	3.831
191.5	4.713
192.0	6.085
192.5	7.569
193.0	8.839
193.5	9.849
194.0	10.254
194.5	10.219
195.0	9.693
195.5	8.539
196.0	7.139
196.5	5.848
197.0	4.795
197.5	4.044
198.0	3.324
198.5	2.821
199.0	2.496
199.5	2.222
200.0	2.007
200.5	1.808
201.0	1.688
201.5	1.539
202.0	1.425
202.5	1.299
203.0	1.198
203.5	1.117
204.0	1.046
204.5	0.980
205.0	0.909
205.5	0.841
206.0	0.786
206.5	0.716
207.0	0.642
207.5	0.583
208.0	0.540
208.5	0.503
209.0	0.473
209.5	0.451
210.0	0.432
210.5	0.414
211.0	0.403
211.5	0.380
212.0	0.360
212.5	0.353
213.0	0.348
213.5	0.337
214.0	0.325
214.5	0.319
215.0	0.319
215.5	0.315
216.0	0.306
216.5	0.303
217.0	0.308
217.5	0.312
218.0	0.310
218.5	0.302
219.0	0.295
219.5	0.297
220.0	0.297
220.5	0.286
221.0	0.283
221.5	0.286
222.0	0.281
222.5	0.272
223.0	0.261
223.5	0.254
224.0	0.249
224.5	0.244
225.0	0.238
225.5	0.233
226.0	0.230
226.5	0.226
227.0	0.219
227.5	0.216
228.0	0.213
228.5	0.215
229.0	0.213
229.5	0.211
230.0	0.207
230.5	0.198
231.0	0.188
231.5	0.179
232.0	0.166
232.5	0.155
233.0	0.141
233.5	0.132
234.0	0.125
234.5	0.121
235.0	0.116
235.5	0.114
236.0	0.109
236.5	0.099
237.0	0.090
237.5	0.085
238.0	0.077
238.5	0.072
239.0	0.065
239.5	0.062
240.0	0.057
240.5	0.055
241.0	0.051
241.5	0.046
242.0	0.048
242.5	0.052
243.0	0.052
243.5	0.052
244.0	0.044
244.5	0.041
245.0	0.037
245.5	0.037
246.0	0.037
246.5	0.039
247.0	0.044
247.5	0.047
248.0	0.050
248.5	0.051
249.0	0.045
249.5	0.041
250.0	0.036
250.5	0.033
251.0	0.033
251.5	0.031
252.0	0.031
252.5	0.030
253.0	0.032
253.5	0.026
254.0	0.020
254.5	0.015
255.0	0.012
255.5	0.014
256.0	0.016
256.5	0.020
257.0	0.023
257.5	0.026
258.0	0.030
258.5	0.033
259.0	0.038
259.5	0.046
260.0	0.048
260.5	0.051
261.0	0.051
261.5	0.049
262.0	0.047
262.5	0.041
263.0	0.045
263.5	0.048
264.0	0.048
264.5	0.049
265.0	0.045
265.5	0.047
266.0	0.051
266.5	0.054
267.0	0.061
267.5	0.068
268.0	0.080
268.5	0.082
269.0	0.078
269.5	0.074
270.0	0.072
270.5	0.071
271.0	0.074
271.5	0.076
272.0	0.087
272.5	0.095
273.0	0.099
273.5	0.097
274.0	0.095
274.5	0.097
275.0	0.095
275.5	0.093
276.0	0.093
276.5	0.094
277.0	0.101
277.5	0.100
278.0	0.098
278.5	0.102
279.0	0.107
279.5	0.112
280.0	0.111
280.5	0.110
281.0	0.110
281.5	0.110
282.0	0.107
282.5	0.103
283.0	0.105
283.5	0.110
284.0	0.112
284.5	0.112
285.0	0.108
285.5	0.107
286.0	0.106
286.5	0.099
287.0	0.090
287.5	0.086
288.0	0.082
288.5	0.074
289.0	0.074
289.5	0.068
290.0	0.067
290.5	0.068
291.0	0.066
291.5	0.059
292.0	0.050
292.5	0.045
293.0	0.038
293.5	0.039
294.0	0.039
294.5	0.036
295.0	0.038
295.5	0.036
296.0	0.037
296.5	0.035
297.0	0.032
297.5	0.031
298.0	0.029
298.5	0.030
299.0	0.021
299.5	0.021
300.0	0.016
300.5	0.013
301.0	0.016
301.5	0.017
302.0	0.016
302.5	0.015
303.0	0.015
303.5	0.018
304.0	0.014
304.5	0.011
305.0	0.008
305.5	0.008
306.0	0.008
306.5	0.009
307.0	0.007
307.5	0.005
308.0	0.007
308.5	0.008
